C;max_iter;penalty;solver;nom_filtre;roc_auc;cm_0_0;cm_0_1;cm_0_2;cm_0_3;cm_0_4;cm_0_5;cm_0_6;cm_0_7;cm_0_8;cm_1_0;cm_1_1;cm_1_2;cm_1_3;cm_1_4;cm_1_5;cm_1_6;cm_1_7;cm_1_8;cm_2_0;cm_2_1;cm_2_2;cm_2_3;cm_2_4;cm_2_5;cm_2_6;cm_2_7;cm_2_8;cm_3_0;cm_3_1;cm_3_2;cm_3_3;cm_3_4;cm_3_5;cm_3_6;cm_3_7;cm_3_8;cm_4_0;cm_4_1;cm_4_2;cm_4_3;cm_4_4;cm_4_5;cm_4_6;cm_4_7;cm_4_8;cm_5_0;cm_5_1;cm_5_2;cm_5_3;cm_5_4;cm_5_5;cm_5_6;cm_5_7;cm_5_8;cm_6_0;cm_6_1;cm_6_2;cm_6_3;cm_6_4;cm_6_5;cm_6_6;cm_6_7;cm_6_8;cm_7_0;cm_7_1;cm_7_2;cm_7_3;cm_7_4;cm_7_5;cm_7_6;cm_7_7;cm_7_8;cm_8_0;cm_8_1;cm_8_2;cm_8_3;cm_8_4;cm_8_5;cm_8_6;cm_8_7;cm_8_8;0_precision;0_recall;0_f1;1_precision;1_recall;1_f1;2_precision;2_recall;2_f1;3_precision;3_recall;3_f1;4_precision;4_recall;4_f1;5_precision;5_recall;5_f1;6_precision;6_recall;6_f1;7_precision;7_recall;7_f1;8_precision;8_recall;8_f1;macro avg_precision;macro avg_recall;macro avg_f1;weighted avg_precision;weighted avg_recall;weighted avg_f1
1;10000;l1;liblinear;Sans;1.0;814;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;324;0;0;0;0;0;0;0;0;0;288;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1;10000;l2;lbfgs;Sans;1.0;814;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;324;0;0;0;0;0;0;0;0;0;288;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1;10000;l2;liblinear;Sans;1.0;814;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;324;0;0;0;0;0;0;0;0;0;288;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1;10000;l2;newton-cg;Sans;1.0;814;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;324;0;0;0;0;0;0;0;0;0;288;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1;10000;l1;liblinear;Canny;0.985642250161438;786;0;2;0;0;0;0;1;0;3;10;0;0;0;0;0;0;0;4;0;37;1;0;0;1;0;1;3;0;0;54;0;0;0;0;0;0;0;0;0;62;0;0;0;0;0;0;0;0;0;46;0;0;0;1;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;347;2;0;0;0;0;0;0;0;0;279;0.986198243412798;0.9961977186311787;0.9911727616645649;1.0;0.7692307692307693;0.8695652173913043;0.9487179487179487;0.8409090909090909;0.891566265060241;0.9818181818181818;0.9473684210526315;0.9642857142857143;1.0;1.0;1.0;1.0;1.0;1.0;0.9714285714285714;0.9714285714285714;0.9714285714285714;0.9971264367816092;0.994269340974212;0.9956958393113343;0.9893617021276596;1.0;0.9946524064171123;0.9860723426985297;0.9466004346918283;0.9642629750620936;0.9885583521447565;0.9886499402628435;0.9883743891675001
1;10000;l2;lbfgs;Canny;0.990353971735073;785;0;1;1;0;0;0;2;0;3;10;0;0;0;0;0;0;0;5;0;37;1;0;0;1;0;0;5;0;0;52;0;0;0;0;0;0;0;0;0;62;0;0;0;0;0;0;0;0;0;46;0;0;0;3;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;345;4;0;0;0;0;0;0;0;6;273;0.9800249687890137;0.9949302915082383;0.9874213836477987;1.0;0.7692307692307693;0.8695652173913043;0.9736842105263158;0.8409090909090909;0.9024390243902439;0.9629629629629629;0.9122807017543859;0.9369369369369369;1.0;1.0;1.0;1.0;1.0;1.0;0.9696969696969697;0.9142857142857143;0.9411764705882353;0.9773371104815864;0.9885386819484241;0.9829059829059829;0.9855595667870036;0.978494623655914;0.9820143884892086;0.983251754360428;0.9331855414769485;0.9558288227055234;0.980867299377312;0.980884109916368;0.9805555083011003
1;10000;l2;liblinear;Canny;0.9891786625624748;786;0;1;1;0;0;0;1;0;3;10;0;0;0;0;0;0;0;5;0;37;1;0;0;1;0;0;3;0;0;54;0;0;0;0;0;0;0;0;0;62;0;0;0;0;0;0;0;0;0;46;0;0;0;1;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;346;3;0;0;0;0;0;0;0;3;276;0.9849624060150376;0.9961977186311787;0.9905482041587902;1.0;0.7692307692307693;0.8695652173913043;0.9736842105263158;0.8409090909090909;0.9024390243902439;0.9642857142857143;0.9473684210526315;0.9557522123893806;1.0;1.0;1.0;1.0;1.0;1.0;0.9714285714285714;0.9714285714285714;0.9714285714285714;0.9885714285714285;0.9914040114613181;0.9899856938483548;0.989247311827957;0.989247311827957;0.989247311827957;0.9857977380727804;0.9450873216157242;0.9632184706038447;0.9862324718606551;0.9862604540023895;0.9859839194980966
1;10000;l2;newton-cg;Canny;0.9968540511535215;785;0;1;1;0;0;1;1;0;3;10;0;0;0;0;0;0;0;5;0;37;1;0;0;1;0;0;2;0;0;55;0;0;0;0;0;0;0;0;0;62;0;0;0;0;0;0;0;0;0;46;0;0;0;1;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;346;3;0;0;0;0;0;0;0;4;275;0.9861809045226131;0.9949302915082383;0.9905362776025236;1.0;0.7692307692307693;0.8695652173913043;0.9736842105263158;0.8409090909090909;0.9024390243902439;0.9649122807017544;0.9649122807017544;0.9649122807017544;1.0;1.0;1.0;1.0;1.0;1.0;0.9444444444444444;0.9714285714285714;0.9577464788732394;0.9857549857549858;0.9914040114613181;0.9885714285714285;0.9892086330935251;0.985663082437276;0.9874326750448833;0.9826872732270711;0.9464975664085576;0.9623559313972643;0.9856703065404054;0.985663082437276;0.9854068456374929
1;10000;l1;liblinear;Erosion;0.9999989185914262;817;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;1;0;63;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;69;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;306;1;0;0;0;0;0;0;0;0;277;0.9987775061124694;1.0;0.999388379204893;1.0;1.0;1.0;1.0;0.984375;0.9921259842519685;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.996742671009772;0.99836867862969;0.9964028776978417;1.0;0.9981981981981982;0.9994644870900345;0.9979019634455302;0.9986756933649722;0.9988081359714395;0.998805256869773;0.9988031386157343
1;10000;l2;lbfgs;Erosion;0.9998721354584226;817;0;0;0;0;0;0;0;0;0;12;1;0;0;0;0;0;0;2;0;62;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;69;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;37;0;0;1;0;0;0;0;0;0;304;2;0;0;0;0;0;0;0;0;277;0.9963414634146341;1.0;0.998167379352474;1.0;0.9230769230769231;0.96;0.9841269841269841;0.96875;0.9763779527559056;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.990228013029316;0.9950900163666121;0.992831541218638;1.0;0.9964028776978417;0.997033332084473;0.9868949929006933;0.9917820251303149;0.9964214095050453;0.996415770609319;0.9963961589332148
